
1 0.59 0.59 0.91 0.98 0.14 0.94 0.38
2 0.78 0.74 0.43 0.68 0.56 0.81 0.64
3 0.98 0.73 0.16 0.96 0.83 0.29 0.76
4 0.42 0.85 0.97 0.59 0.47 0.87 0.10
5 0.15 0.99 0.50 0.57 0.51 0.41 0.47
6 0.55 0.27 0.75 0.34 0.84 0.11 0.84
7 0.40 0.82 0.49 0.38 0.47 0.47 0.34
8 0.22 0.66 0.93 0.55 0.44 0.90 0.14
9 0.81 0.69 0.96 0.79 0.68 0.47 0.28
10 0.19 0.70 0.65 0.57 0.88 0.40 0.73
11 0.72 0.33 0.49 0.94 0.15 0.88 0.33
12 0.53 0.27 0.49 0.65 0.84 0.34 0.12
13 0.20 0.24 0.17 0.83 0.75 0.13 0.62
14 0.36 0.50 0.72 0.37 0.13 0.37 0.84
15 0.91 0.60 0.49 0.55 0.83 0.89 0.49
16 0.89 0.69 0.64 0.34 0.87 0.14 0.81
17 0.63 0.38 0.84 0.73 0.45 0.83 0.56
18 0.20 0.78 0.11 0.38 0.21 0.73 0.66
19 0.24 0.11 0.50 0.15 0.53 0.82 0.52
20 0.36 0.71 0.91 0.17 0.40 0.56 0.33
