1 38 10 29 20 12 7 28 9 8 19 13 35 28 1 34 36 41 34 39 23 7 28 15 26 14 36 36 37 36 38 31 32 39 9 9 9 16 36 17 23 12 29 7 31 22 40 24 20 24 13 34 30 40 
2 40 5 12 34 40 40 27 27 28 16 24 37 24 32 10 10 40 24 13 19 30 36 40 20 9 9 1 21 1 22 11 40 26 14 31 16 11 16 42 30 23 15 16 39 38 25 6 36 40 10 12 28 3 
3 1 39 12 9 31 24 9 10 26 41 27 39 29 42 41 36 34 29 17 6 2 13 2 19 10 29 16 19 32 35 14 32 23 17 40 11 32 41 20 16 39 39 4 17 38 3 11 21 23 19 19 16 23 
4 12 34 32 40 42 42 29 26 13 18 7 21 7 17 11 39 29 26 27 25 21 2 12 23 4 25 3 14 1 11 36 12 2 25 9 35 24 29 11 29 38 17 7 36 25 9 33 3 26 17 19 5 10 
5 23 27 5 5 22 18 5 32 11 16 25 27 16 10 1 36 20 21 31 36 27 16 10 28 6 13 11 15 23 15 16 3 34 21 7 5 30 11 28 33 18 2 17 25 11 17 18 30 29 40 15 14 14 
6 25 41 11 29 1 25 9 16 41 4 41 11 10 3 40 13 22 30 30 23 39 5 34 5 22 13 34 12 28 39 25 2 29 35 22 29 10 30 36 42 25 34 10 35 28 41 5 7 21 26 30 9 30 
7 13 13 2 25 38 13 10 34 29 3 20 21 24 41 22 4 34 21 28 26 30 20 3 21 16 10 33 34 31 41 21 1 11 14 25 7 26 35 32 12 29 2 25 11 42 4 14 33 25 41 8 4 11 
8 3 16 18 12 6 9 42 4 22 34 7 35 16 5 11 42 36 22 29 37 38 39 28 42 10 11 16 42 18 11 10 20 27 28 23 24 28 14 20 7 5 26 42 13 30 10 12 15 23 32 10 19 28 
9 29 10 29 39 17 21 15 19 30 26 37 7 41 19 35 4 38 41 9 13 32 13 42 33 24 6 14 6 7 24 33 36 25 12 32 33 32 38 9 11 14 4 18 12 14 2 7 9 34 7 13 24 19 
10 12 14 35 9 19 40 16 34 30 9 16 33 40 6 14 28 7 25 41 10 34 2 23 35 8 23 18 15 35 41 33 38 5 25 4 23 22 11 7 2 19 22 26 9 20 40 36 26 22 34 27 5 35 
11 41 31 42 21 6 6 5 39 39 34 1 13 29 15 35 40 21 28 16 35 11 16 4 42 9 21 13 42 5 17 26 3 39 18 15 3 23 11 41 11 2 33 24 22 39 8 19 10 35 27 36 37 42 
12 39 37 1 17 7 42 13 16 18 15 12 35 21 6 7 31 38 18 24 20 41 37 17 40 14 18 24 32 11 18 23 7 4 23 15 3 15 27 10 32 33 13 16 3 19 22 25 14 39 40 26 29 34 
13 42 26 39 17 41 28 19 17 1 17 12 15 31 6 29 7 15 10 31 28 17 33 38 31 15 1 19 12 26 6 37 17 23 34 33 22 11 1 30 11 17 33 18 5 39 38 3 3 6 33 22 14 23 
14 9 2 29 10 21 32 35 18 27 10 32 18 34 3 20 27 24 31 1 15 40 40 3 35 42 39 32 25 11 4 5 19 39 26 28 9 15 13 18 33 14 8 8 5 2 28 31 26 8 24 32 39 21 
15 34 31 20 22 21 2 32 16 41 9 12 16 36 21 22 40 30 13 11 37 20 16 31 39 38 14 38 11 3 34 31 28 15 1 41 35 36 31 8 26 31 11 41 24 23 21 14 11 33 24 39 2 31 
16 27 33 27 32 20 29 34 4 18 11 18 10 10 2 3 32 1 29 20 11 19 35 26 39 6 36 21 30 24 15 18 9 5 36 32 16 23 24 19 32 26 28 41 27 29 1 16 29 21 27 40 40 20 
17 15 28 17 42 7 4 23 13 14 23 17 7 13 24 21 28 1 10 3 28 8 30 15 9 37 35 29 22 24 18 41 38 4 7 37 2 11 18 14 24 32 22 22 36 3 1 21 37 10 24 23 18 3 
18 29 18 39 13 38 18 37 14 8 32 17 15 27 18 17 36 31 32 17 10 11 11 12 11 23 7 13 38 21 22 40 41 39 37 11 34 4 39 5 4 29 21 10 5 30 26 32 18 15 40 19 17 42 
19 23 28 23 21 32 18 41 11 8 31 41 36 33 32 31 30 29 34 8 41 1 4 29 18 27 38 32 24 15 7 24 37 26 38 7 7 5 39 17 12 27 7 39 9 38 28 30 16 11 29 15 12 32 
20 35 21 8 30 11 32 36 9 5 22 26 34 28 32 38 24 40 42 42 4 38 9 41 15 30 7 26 17 21 29 40 13 7 6 34 9 37 20 9 33 41 34 24 19 23 19 42 20 10 34 15 40 42 
21 6 12 21 12 29 37 32 7 35 36 6 40 19 14 26 38 15 16 29 6 31 5 21 41 38 32 9 29 5 6 20 10 9 41 21 38 27 2 36 11 29 41 42 39 5 25 35 19 32 13 24 20 9 
22 36 11 4 26 19 25 30 24 36 31 24 34 9 19 11 2 5 21 30 3 21 26 7 37 10 25 27 14 41 38 22 34 6 26 9 16 42 30 31 35 18 13 19 18 23 29 19 27 41 40 30 11 24 
23 28 6 25 11 24 39 1 11 18 34 17 35 35 24 26 22 13 19 40 17 29 15 39 15 26 16 5 23 3 16 4 30 21 21 32 2 9 32 12 26 16 20 11 8 2 28 21 6 4 18 22 32 25 
24 18 38 8 33 1 30 27 16 26 7 28 38 30 29 4 20 32 21 27 10 31 26 3 17 4 8 12 14 21 36 38 30 31 37 13 23 16 39 38 41 37 23 28 25 1 31 36 33 10 12 34 32 37 
25 28 40 32 27 2 3 5 37 32 34 17 26 4 40 34 35 27 24 29 42 10 3 42 40 38 24 41 7 7 31 35 34 20 25 10 21 27 14 15 17 40 32 34 35 29 25 27 5 7 6 4 16 8 
26 38 5 38 11 4 36 18 26 29 1 3 11 11 16 29 16 30 37 13 11 29 6 31 3 24 36 1 21 31 8 29 26 13 16 37 8 9 4 25 37 38 19 5 40 34 34 14 14 28 18 16 6 15 
27 5 9 39 32 1 17 20 9 37 38 13 10 24 20 19 27 2 5 22 12 10 20 4 35 25 17 12 42 32 10 7 28 10 37 9 10 3 29 18 40 16 30 41 39 41 9 23 34 14 36 4 15 5 
28 7 41 21 15 10 13 38 11 19 16 20 13 24 30 15 2 39 4 17 27 3 13 25 11 27 9 16 13 12 30 17 10 20 38 24 22 8 11 32 18 18 10 30 42 39 2 1 35 6 18 11 42 22 
29 28 2 7 36 18 19 5 39 27 6 9 14 21 30 13 31 19 30 41 20 17 40 8 11 32 35 8 41 3 7 21 22 42 19 15 9 37 11 6 13 8 14 27 28 35 39 9 11 27 7 23 35 4 
30 30 3 27 22 2 26 25 42 4 38 42 22 11 8 8 13 5 20 21 10 38 6 2 35 6 5 11 12 27 3 7 14 40 34 36 33 17 10 33 20 5 24 33 7 31 32 12 28 1 32 37 39 29 
31 39 23 27 1 25 38 19 19 3 32 8 36 17 41 10 26 31 21 23 12 3 29 34 26 40 19 26 21 14 14 42 2 28 26 36 10 21 12 29 15 35 36 8 10 34 9 27 14 21 7 17 23 36 
32 9 6 25 27 24 4 32 37 37 33 23 20 26 24 32 29 10 5 22 38 4 31 21 13 15 35 33 22 9 6 7 17 3 31 36 18 26 25 5 20 8 27 39 33 42 21 20 2 25 41 39 28 21 
33 17 32 27 1 23 40 10 20 4 18 14 27 3 32 10 28 36 22 27 12 10 17 11 30 28 12 12 18 8 32 30 17 21 15 17 35 12 18 12 8 28 26 34 30 15 35 7 42 14 33 11 24 42 
34 21 11 19 25 15 37 24 4 16 40 16 30 7 9 34 16 12 41 1 29 32 23 35 24 29 34 30 12 2 11 3 15 13 21 39 19 7 20 14 23 18 30 2 16 30 35 31 41 33 24 28 14 4 
35 20 38 24 4 25 27 5 27 29 19 39 8 15 16 14 35 29 28 2 8 30 9 37 22 31 28 5 12 13 18 7 24 13 23 27 29 7 24 5 36 42 36 35 7 1 40 41 21 26 34 29 5 42 
36 15 26 30 42 22 34 12 40 40 28 2 12 12 31 19 27 27 4 27 20 30 33 20 27 23 41 2 14 19 6 5 33 24 26 33 3 17 36 42 7 21 2 18 25 24 28 9 42 31 27 20 18 17 
37 31 37 31 21 38 36 39 36 40 30 17 16 12 11 32 39 3 30 10 38 6 34 11 25 34 10 14 11 29 23 19 10 17 8 30 5 1 27 40 33 6 6 6 17 8 29 5 10 17 14 5 14 39 
38 15 38 23 17 1 33 37 24 9 4 32 8 34 36 1 18 33 33 15 30 30 23 38 8 27 5 24 41 2 29 37 8 25 17 24 25 7 11 40 8 14 30 15 5 23 7 14 6 31 28 27 18 8 
39 22 26 35 19 41 33 12 28 27 11 10 2 35 26 42 3 24 7 8 3 14 13 17 20 26 22 1 12 41 18 19 20 35 3 30 34 35 41 11 12 10 12 5 36 37 4 30 10 3 37 12 8 41 
40 29 19 25 42 19 28 40 29 4 10 21 41 39 4 33 30 6 2 39 17 6 24 4 2 3 13 4 39 17 3 38 37 21 12 36 40 39 26 26 34 35 38 32 23 34 15 10 39 16 40 14 14 21 
41 17 7 23 21 10 12 37 4 41 31 24 2 17 13 40 42 30 23 26 26 13 6 17 19 16 5 34 5 18 39 18 26 3 32 39 4 1 33 7 33 14 23 34 22 35 23 21 23 4 4 6 8 1 
42 14 26 8 18 9 13 28 40 30 3 42 19 41 38 12 24 2 2 37 16 28 16 9 8 28 31 11 23 28 10 23 33 35 31 42 36 1 19 33 30 22 32 40 20 19 9 35 21 3 29 28 30 36 
43 36 37 21 16 40 35 35 41 16 25 26 4 17 19 38 35 9 17 6 32 14 18 9 15 10 21 17 39 6 4 24 34 32 37 7 21 29 42 20 2 16 3 39 32 21 34 17 21 42 22 2 14 39 
44 10 28 7 22 36 37 20 39 18 11 20 12 17 41 41 8 10 34 24 4 31 5 16 14 13 36 14 35 37 19 23 39 38 21 10 31 15 29 19 25 39 38 28 6 28 26 13 29 10 28 32 40 25 
45 5 11 37 32 16 21 19 34 2 15 29 22 16 17 29 3 27 11 41 23 38 38 42 14 9 29 23 28 10 12 10 15 14 5 4 30 25 22 13 18 28 42 40 2 8 26 4 35 28 36 7 15 32 
